branch,sep,s1,off,bias,n,regime,s1_fit,sep_fit
fc,2.2,2.0,-0.25,,0,,,
fc,2.2,2.0,0.0,0.011405175209888374,1,FC*,3.201503592276695,2.1251255448641517
fc,2.2,2.0,0.25,0.012857215502138475,1,FC*,2.722724324144385,2.1858822503407507
fc,2.2,2.0,0.5,0.014318176871345956,1,FC*,2.5321697224955875,2.2101894127856774
fc,2.2,2.0,0.75,-0.0007419802162881295,1,FC,2.0844010465314597,2.1909564889471516
fc,2.2,2.0,1.0,-0.003444375468396099,1,FC,1.9985452782608004,2.1991650092986386
fc,2.2,2.0,1.1,-0.0023646432186869015,1,FC,1.9994383996584033,2.2003585106068186
fc,2.2,2.0,1.15,-1.8857689833617908e-05,1,FC,2.013497746223534,2.2014341292824877
fc,2.2,2.0,1.25,-0.0025446738242612676,1,FC,1.9832416819202092,2.2037194207555935
fc,2.2,2.0,1.5,-0.0016440669345305081,1,FC,1.9888126657368732,2.2065758483607523
fc,2.2,2.0,1.75,-0.000741980216288074,1,FC,1.9989707830686316,2.2091149416899287
fc,2.2,2.0,2.0,-0.0034443754683963212,1,FC,1.9847061303049576,2.2106933107861098
