depth,s1,off,a_edge,bias,n,bias_spread,regime
6.5,1.2,1.35,1.2208005994302196,0.002739080390097256,3,0.0010469260786437617,FC
6.5,1.4,-0.25,0.6104467490087743,0.004668455606973894,3,0.001706719739970164,VFC
6.5,1.4,0.0,0.6868334395334261,0.0051527701054311,3,0.0018177305561228874,FC*
6.5,1.4,0.25,0.7921372460349508,0.005702331724241209,3,0.0019393007535106754,FC*
6.5,1.4,0.5,0.9166666641231748,0.006328511906308935,3,0.0020727075113892157,FC*
6.5,1.4,0.75,1.0411960822113993,0.00646326952318003,3,0.0022974397354843523,FC*
6.5,1.4,1.0,1.1464998887129225,0.0013406939469316297,3,0.0011942948506212803,FC
6.5,1.4,1.35,1.245389623980084,0.0016026234493291918,3,0.0015968085779589636,FC
6.5,1.7,-0.25,0.5809602209496209,0.0031487679505687316,3,0.0017612943303229045,VFC
6.5,1.7,0.0,0.6566141725843372,0.0030986567144597097,3,0.0019298166405391504,FC*
6.5,1.7,0.25,0.7722946380404284,0.0034645233948876752,3,0.002066168848341765,FC*
6.5,1.7,0.5,0.9166666641231741,0.0034240779520453937,3,0.00228002501393032,FC*
6.5,1.7,0.75,1.061038690205921,0.0005071466667189717,3,0.0011176631986749563,FC
6.5,1.7,1.0,1.1767191556620116,0.0005989526187298496,3,0.0012277899439984141,FC
6.5,1.7,1.35,1.2725344554669766,0.0006237069049433441,3,0.0014578496380099337,FC
6.5,2.0,-0.25,0.5596422267015148,0.0015345464106164182,3,0.0018785684296630523,VFC
6.5,2.0,0.0,0.632134374915126,0.0017420159954161611,3,0.0020120459298377247,FC*
6.5,2.0,0.25,0.7550721501979685,0.001980792157366055,3,0.002159785979928941,FC*
6.5,2.0,0.5,0.9166666641231741,0.002256743747827287,3,0.0023238112974838243,FC*
6.5,2.0,0.75,1.078261178048382,0.00012218089385179765,3,0.0011305895304803415,FC
6.5,2.0,1.0,1.2011989533312237,0.00016529026638884003,3,0.0012442442255031216,FC
6.5,2.0,1.35,1.2911157302430967,0.00012796638849186617,3,0.001475045117476259,FC
6.5,2.5,-0.25,0.5364071877312822,0.000125353642557835,3,0.001982736909604488,VFC
6.5,2.5,0.0,0.601298246996781,0.0007232043623647266,3,0.0020497058175752425,VFC
6.5,2.5,0.25,0.7315464263528543,0.0005563476732137566,3,0.0022503294155143405,FC*
6.5,2.5,0.5,0.9166666641231745,0.0006877765999869223,3,0.0024280086324368066,FC*
6.5,2.5,0.75,1.101786901893495,-0.00017218478289393602,3,0.0011160271397169241,FC
6.5,2.5,1.0,1.2320350812495684,-0.00026345987242865077,3,0.0012636520561513653,FC
6.5,2.5,1.35,1.3099971166848676,-0.00024754006510161836,3,0.0014522767644494783,FC
7.0,0.6,-0.25,0.7496159036815916,0.025318563539651118,3,0.0006325126779547219,FC*
7.0,0.6,0.0,0.8017930054569135,0.02718122422466603,3,0.0006617609141893466,FC*
7.0,0.6,0.25,0.8581137798147106,0.029229029588079974,3,0.0006941683785449682,FC*
7.0,0.6,0.5,0.9166666661291901,0.03148464020529514,3,0.000730521106044657,FC*
7.0,0.6,0.75,0.9752195524436708,0.033150725978093244,3,0.0008178935103245744,FC*
7.0,0.6,1.0,1.0315403268014671,0.03584635852991114,3,0.0008709820675698587,FC*
7.0,0.6,1.35,1.1031016631828618,0.04030922791734962,3,0.0009493805350213602,FC*
7.0,0.8,-0.25,0.705014280936664,0.014833231968730912,3,0.0009690444879493221,FC*
7.0,0.8,0.0,0.7681576843261526,0.01543418014552785,3,0.0010590942268405845,FC*
7.0,0.8,0.25,0.8399630913417583,0.01671570398006872,3,0.0011012418072691155,FC*
7.0,0.8,0.5,0.9166666661291911,0.018142516639928014,3,0.0011453502973204355,FC*
7.0,0.8,0.75,0.9933702409166237,0.019735649664293347,3,0.0011916136655807374,FC*
7.0,0.8,1.0,1.0651756479322279,0.0207478969796131,3,0.0013241050772823115,FC*
7.0,0.8,1.35,1.150642069073241,0.007366410643921147,3,0.00025770937568581065,FC
7.0,1.0,-0.25,0.6672690531483316,0.009009966229445387,3,0.0012819482432023799,FC*
7.0,1.0,0.0,0.7377493372920078,0.009787840560229633,3,0.0013476259501055132,FC*
7.0,1.0,0.25,0.8228480845209276,0.010656380065194685,3,0.0014178812713199207,FC*
7.0,1.0,0.5,0.9166666661291908,0.011046184150553954,3,0.0015557136747793576,FC*
7.0,1.0,0.75,1.0104852477374553,0.012090928170230867,3,0.0016438712324133853,FC*
7.0,1.0,1.0,1.0955839949663746,0.013270077616361084,3,0.0017390473925741334,FC*
7.0,1.0,1.35,1.1896085102492293,0.003872785067886501,3,0.0008388607160493278,FC
7.0,1.2,-0.25,0.6359956287207994,0.006183942456011948,3,0.0014175606329213108,FC*
7.0,1.2,0.0,0.7106744704486049,0.006302118505987497,3,0.0015447329569154844,FC*
7.0,1.2,0.25,0.8068866217743079,0.006898443693813612,3,0.0016367778246119125,FC*
7.0,1.2,0.5,0.9166666661291906,0.007569632292022825,3,0.0017367251102875514,FC*
7.0,1.2,0.75,1.0264467104840733,0.008327877980493984,3,0.0018454253881086125,FC*
7.0,1.2,1.0,1.1226588618097757,0.0018732645941935688,3,0.0010514861666574005,FC
7.0,1.2,1.35,1.2208006014362363,0.0021492418300324,3,0.0010071530998656542,FC
7.0,1.4,-0.25,0.6104467510147903,0.004006490613170377,3,0.0015454115820331404,VFC
