logr,z,step,barT,x,cls_deep,cls_prod,mid_deep,mid_prod,a_deep,a_prod,da,bhi_deep,bhi_prod,dlog_bhi,nuM_deep,nuM_prod,sep_deep,s1_deep,off_deep,depth_deep,bias_deep,total
-4.0,4,1926,285.2679086820193,218.41773421514907,FC*,VFC,plateau,plateau,0.5022020625879071,0.4879772587380881,0.014224803849819001,0.0011133871722232088,0.0012129426077386977,-0.03719403871537399,1104.0141033309203,1104.0141033309203,6.257446805749758,1.666213160006448,0.7891994075703899,7.046646213320148,0.008121845042082708,0.006102958807736293
-4.0,4,1929,293.03943616796977,224.36806852619893,FC*,VFC,plateau,plateau,0.5023217526494297,0.4876263780905262,0.014695374558903462,0.0010846119235041547,0.0011847417149617975,-0.03834930583846716,1058.3410475538944,1058.3410475538944,6.257169239391814,1.6749960473586032,0.7781051350793682,7.035274374471182,0.007547353274663486,0.007148021284239976
-4.0,4,1932,301.0226826648105,230.48050724942246,FC*,VFC,plateau,plateau,0.5023857530263124,0.48795490816301446,0.014430844863297931,0.001054667644528518,0.001150536077034551,-0.03778461849417932,992.971602709023,992.971602709023,6.256004312281457,1.673460849420679,0.767111310491849,7.023115622773306,0.006896667547810965,0.007534177315486966
-4.0,4,1935,309.22341601414695,236.75946658046055,FC*,VFC,plateau,plateau,0.502511095715659,0.48760367201141086,0.014907423704248135,0.0010270274664269806,0.0011234040597170203,-0.03895393062373835,965.6751804597335,965.6751804597335,6.255535947666198,1.6832113802032584,0.7560461106907379,7.011582058356936,0.006331470604941164,0.008575953099306971
-4.0,4,1938,317.64756119036497,243.20948302496708,FC*,VFC,plateau,plateau,0.5021975885746177,0.4872449073818498,0.014952681192767936,0.001001807209367664,0.0010954247098817066,-0.03879838053194008,986.8406650108036,986.8406650108036,6.255280522314842,1.6815111434351802,0.7455036303903491,7.000784152705191,0.005705959166312171,0.009246722026455765
-4.0,4,1941,326.30120458138424,249.83521667620363,FC*,VFC,plateau,plateau,0.5022646499990816,0.4875802997627029,0.014684350236378707,0.0009732345758262371,0.0010627705050974558,-0.038221963410467914,959.8810434811312,959.8810434811312,6.253708019966726,1.6828949143994896,0.7345095096218976,6.988217529588623,0.00507825624297179,0.009606093993406917
-4.0,4,1944,335.1905983860327,256.6414545819253,FC*,VFC,plateau,plateau,0.5023862918401292,0.4872215992215453,0.015164692618583886,0.000947012102925293,0.0010369073339189473,-0.039384416827200355,959.8810434811312,959.8810434811312,6.252834566164901,1.6955419810651942,0.7235209632080473,6.976355529372948,0.004540331847762357,0.01062436077082153
-4.0,4,1947,344.3221651312178,263.63311420299027,FC*,VFC,plateau,plateau,0.5024485485594536,0.48755528862463376,0.01489325993481988,0.000920395845775814,0.0010064185963310748,-0.0388040031468941,920.1707713877297,920.1707713877297,6.2514254189372265,1.6962671834105323,0.712549230867384,6.9639746498046105,0.003908761508201827,0.010984498426618052
-4.0,4,1950,353.7025023121588,270.8152469661923,FC*,VFC,plateau,plateau,0.5021439130306893,0.487195256679357,0.014948656351332301,0.0008989260251670041,0.000982673986104128,-0.038685505274679906,895.032512883751,895.032512883751,6.25177951704843,1.68960655806171,0.7019444369944399,6.95372395404287,0.003240521773650796,0.011708134577681505
-4.0,4,1953,363.3383871590324,278.19304191388204,FC*,VFC,plateau,plateau,0.5022619160243699,0.4868280603606788,0.015433855663691043,0.0008756881531224812,0.0009598641609114406,-0.03986030210469772,858.0050240501795,858.0050240501795,6.251355563286938,1.6990490186673857,0.6909939110429422,6.94234947432988,0.00288952800174333,0.012544327661947713
